Team,Record,ELO,Rank,ELO Delta
Oral Roberts,7-23,1072.88,331,1
Canisius,9-21,1061.74,332,2
Sacramento State,7-21,1060.78,333,2
Alcorn State,9-23,1058.62,334,4
Stonehill,10-21,1057.54,335,1
Grambling State,12-19,1056.27,336,-3
Niagara,7-22,1055.59,337,NA
East Texas A&M,9-21,1050,338,1
Alabama State,9-22,1047.73,339,-9
UTSA,3-25,1047.68,340,NA
Bryant,7-22,1046.42,341,NA
Northern Arizona,7-22,1042.34,342,NA
Maine,7-24,1037.76,343,NA
Holy Cross,9-22,1031.05,344,NA
Fairleigh Dickinson,8-21,1027.82,345,NA
Cal State Bakersfield,6-24,1018.78,346,NA
Coppin State,6-24,1015.6,347,NA
Army,9-21,1015.36,348,NA
North Florida,5-25,1014.96,349,NA
Rider,3-25,1014.65,350,NA
Binghamton,5-23,1010.69,351,NA
Chicago State,6-25,1009.98,352,NA
New Hampshire,7-21,1007.64,353,NA
IU Indianapolis,5-25,1003.57,354,NA
Air Force,3-29,987.19,355,NA
Southern Indiana,5-23,986.15,356,NA
Saint Francis (PA),5-24,967.07,357,NA
Delaware State,5-22,965.34,358,2
Gardner-Webb,2-28,960.65,359,-1
Maryland Eastern Shore,7-23,942.88,360,-1
VMI,3-26,936.75,361,NA
ULM,2-28,918.54,362,NA
Western Illinois,2-26,893.17,363,NA
UMKC,1-27,882.62,364,NA
Mississippi Valley State,2-30,861.92,365,NA
