Team,Record,ELO,Rank,ELO Delta
Wyoming,9-20,1290.37,235,-1
Arkansas-Pine Bluff,14-16,1290.26,236,13
Washington State,9-25,1290.09,237,-2
Tarleton State,12-17,1289.28,238,12
DePaul,8-24,1287.5,239,-3
Nicholls,14-16,1287.2,240,6
Manhattan,11-20,1286.74,241,-4
Siena,13-17,1279.98,242,-2
Eastern Michigan,12-16,1279.53,243,-2
Albany,13-16,1277.27,244,-2
Rutgers,9-20,1275.96,245,-1
UIC,14-18,1274.68,246,-21
Northwestern,8-21,1273.16,247,NA
Tulane,11-20,1270.26,248,-10
Pacific,10-19,1265.31,249,2
North Carolina A&T,8-18,1258.49,250,-7
Delaware,12-19,1258.43,251,21
Grambling State,10-19,1257.45,252,-13
UC Riverside,9-21,1255.13,253,22
Sacred Heart,12-18,1254.85,254,1
Saint Louis,11-21,1254.73,255,1
Loyola-Maryland,12-18,1254.42,256,-8
Xavier,11-19,1252.8,257,NA
Saint Mary's College,13-17,1252.63,258,NA
SMU,9-21,1251.11,259,2
Incarnate Word,11-17,1250.7,260,-15
UAB,11-18,1247.71,261,2
San Diego,10-22,1245.92,262,2
Winthrop,12-17,1245.44,263,2
Bucknell,10-19,1245.06,264,2
Gardner-Webb,12-19,1244.77,265,2
Evansville,10-25,1243.65,266,64
UTA,12-21,1243.49,267,32
Boston University,10-20,1243.33,268,-9
Lafayette,11-19,1242.98,269,-9
Houston,7-23,1242.58,270,-2
UTEP,11-17,1240.76,271,-17
Cornell,8-18,1240.75,272,-2
Wichita State,7-23,1240.01,273,-2
Kennesaw State,10-17,1236.64,274,-22
Western Kentucky,7-21,1232.4,275,-2
Jackson State,11-19,1230.57,276,-14
Yale,7-20,1229.52,277,-3
Western Michigan,9-19,1226.59,278,-2
Weber State,8-22,1226.01,279,-2
Memphis,9-21,1224.28,280,-2
Oakland,9-21,1222.42,281,-1
Nevada,9-21,1221.87,282,-1
New Hampshire,8-20,1221.43,283,-1
UNCG,10-16,1219.4,284,-1
Montana,8-22,1213.4,285,-1
Appalachian State,9-19,1212.57,286,-1
South Carolina Upstate,9-20,1212.5,287,-1
East Texas A&M,11-17,1209.58,288,-9
Pittsburgh,8-22,1208.43,289,-1
VCU,8-23,1207.47,290,NA
Texas State,9-19,1204.78,291,NA
Le Moyne,11-21,1204.2,292,10
Tennessee-Martin,10-17,1203.61,293,-1
Georgia State,8-21,1202.5,294,-1
Northern Arizona,8-22,1199.77,295,-1
New Mexico State,6-21,1196.96,296,-1
Denver,8-19,1196.24,297,-1
Lipscomb,8-20,1194.35,298,NA
Marist,11-20,1191.92,299,1
Fordham,9-20,1191.29,300,1
UNC Asheville,9-18,1187.04,301,2
Wright State,8-22,1186.82,302,2
Coppin State,8-23,1185.11,303,6
Utah Tech,8-20,1183.84,304,-17
Northern Illinois,7-23,1183.44,305,NA
Indiana State,9-22,1182.65,306,7
Dartmouth,7-17,1180.59,307,-1
Southern Illinois,8-20,1179.55,308,-19
Stonehill,11-18,1179.3,309,-12
Boston College,5-26,1178.56,310,-3
Queens,8-20,1168.73,311,-3
Akron,5-24,1163.74,312,-1
Detroit,7-23,1158.48,313,-1
